0.11322	0	
0.119934	0	
0.126038	0	
0.131836	0	
0.137329	0	
0.143433	0	
0.149536	0	
0.15625	0	
0.163269	0	
0.170593	0	
0.178223	0	
0.185242	0	
0.191345	0	
0.195313	0	
0.197754	0	
0.198975	0	
0.19928	0	
0.200195	0	
0.201721	0	
0.204468	0	
0.207825	0	
0.211182	0	
0.213318	0	
0.213928	0	
0.212708	0	
0.210266	0	
0.207825	0	
0.205383	0	
0.203857	0	
0.202637	0	
0.201416	0	
0.2005	0	
0.200195	0	
0.200806	0	
0.202332	0	
0.205383	0	
0.209045	0	
0.213318	0	
0.218201	0	
0.222778	0	
0.227356	0	
0.231323	0	
0.23407	0	
0.235596	0	
0.235291	0	
0.233154	0	
0.228882	0	
0.223389	0	
0.21637	0	
0.208435	0	
0.19928	0	
0.188599	0	
0.176697	0	
0.16449	0	
0.152588	0	
0.142212	0	
0.134277	0	
0.129089	0	
0.126343	0	
0.125427	0	
0.126038	0	
0.127869	0	
0.130615	0	
0.133972	0	
0.137939	0	
0.141602	0	
0.144653	0	
0.147095	0	
0.148621	0	
0.149536	0	
0.148926	0	
0.147095	0	
0.142822	0	
0.136108	0	
0.127258	0	
0.116272	0	
0.10437	0	
